source,country,country_name,salary_yearly,currency,years_experience,experience_level,languages_worked,developer_type,education_level,company_size,collected_at
stackoverflow,DE,Germany,,EUR,20,Junior,Docker;Homebrew;Kubernetes;npm,"Developer, full-stack;Product manager",Some college/university study without earning a degree,20 to 99 employees,2025-07-02T09:58:35.827545
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker;npm;Yarn,"Developer, front-end;Developer, full-stack;Developer, back-end;Student;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.827545
stackoverflow,DE,Germany,69318.0,EUR,12,Junior,,"Developer, desktop or enterprise applications;Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.827545
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker;npm;Yarn,Security professional,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.827545
stackoverflow,DE,Germany,79983.0,EUR,7,Mid-level,Docker,"Developer, desktop or enterprise applications;DevOps specialist;Scientist;System administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.827545
stackoverflow,DE,Germany,58872.0,EUR,2,Junior,,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.827545
stackoverflow,DE,Germany,,EUR,nan,Unknown,,Student,Some college/university study without earning a degree,,2025-07-02T09:58:35.828553
stackoverflow,DE,Germany,11520.0,EUR,6,Mid-level,Docker;npm;Yarn,"Developer, full-stack;Student;Developer, mobile;DevOps specialist;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T09:58:35.828553
stackoverflow,DE,Germany,47990.0,EUR,6,Mid-level,Docker;Homebrew;npm;Yarn,"Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.828553
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker;Homebrew;Kubernetes;npm;Terraform,"Engineer, site reliability;Developer, back-end;Developer, desktop or enterprise applications;Student;Database administrator;DevOps specialist;Cloud infrastructure engineer","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.828553
stackoverflow,DE,Germany,63984.0,EUR,7,Mid-level,Docker;npm,"Developer, full-stack;Developer, back-end",Some college/university study without earning a degree,20 to 99 employees,2025-07-02T09:58:35.828553
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker;npm,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.828553
stackoverflow,DE,Germany,63453.0,EUR,7,Mid-level,Docker,"Developer, full-stack;Developer, back-end","Other doctoral degree (Ph.D., Ed.D., etc.)",100 to 499 employees,2025-07-02T09:58:35.829552
